Mike Muscala,6.2,1.4,0.4,0.6,3.4
Mindaugas Kuzminskas,6.3,1,0.4,0.2,1.9
Mirza Teletovic,6.4,0.7,0.2,0.2,2.3
Monta Ellis,8.5,3.2,1.1,0.4,2.8
Montrezl Harrell,9.1,1.1,0.3,0.7,3.8
Myles Turner,14.5,1.3,0.9,2.1,7.3
Nemanja Bjelica,6.2,1.2,0.6,0.3,3.8
Nene,9.1,1,0.8,0.6,4.2
Nick Young,13.2,1,0.6,0.2,2.3
Nicolas Batum,15.1,5.9,1.1,0.4,6.2
Nik Stauskas,9.5,2.4,0.6,0.4,2.8
Nikola Jokic,16.7,4.9,0.8,0.8,9.8
Nikola Mirotic,10.6,1.1,0.8,0.8,5.5
Nikola Vucevic,14.6,2.8,1,1,10.4
Noah Vonleh,4.4,0.4,0.4,0.4,5.2
Norman Powell,8.4,1.1,0.7,0.2,2.2
Otto Porter Jr.,13.4,1.5,1.4,0.5,6.4
Patrick Beverley,9.5,4.2,1.5,0.4,5.9
Patrick McCaw,4,1.1,0.5,0.2,1.4
Patrick Patterson,6.8,1.2,0.6,0.3,4.5
Patty Mills,9.5,3.5,0.8,0,1.8
Pau Gasol,12.4,2.3,0.4,1.1,7.8
Paul George,23.7,3.3,1.6,0.4,6.6
Paul Millsap,18.1,3.7,1.3,0.9,7.7
PJ Tucker,6.7,1.2,1.4,0.2,5.8
Rajon Rondo,7.8,6.7,1.4,0.2,5.1
Randy Foye,5.2,2,0.5,0.1,2.2
Raymond Felton,6.7,2.4,0.8,0.3,2.7
Richard Jefferson,5.7,1,0.3,0.1,2.6
Ricky Rubio,11.1,9.1,1.7,0.1,4.1
Robert Covington,12.9,1.5,1.9,1,6.5
Robin Lopez,10.4,1,0.2,1.4,6.4
Rodney Hood,12.7,1.6,0.6,0.2,3.4
Rodney McGruder,6.4,1.6,0.6,0.2,3.3
Rondae Hollis-Jefferson,8.7,2,1.1,0.6,5.8
Rudy Gobert,14,1.2,0.6,2.6,12.8
Russell Westbrook,31.6,10.4,1.6,0.4,10.7
Ryan Anderson,13.6,0.9,0.4,0.2,4.6
Salah Mejri,2.9,0.2,0.4,0.8,4.2
Sam Dekker,6.5,1,0.5,0.3,3.7
Sean Kilpatrick,13.1,2.2,0.6,0.1,4
Semaj Christon,2.9,2,0.4,0.1,1.4
Serge Ibaka,14.8,0.9,0.5,1.6,6.8
Sergio Rodriguez,7.8,5.1,0.7,0.1,2.3
Seth Curry,12.8,2.7,1.1,0.1,2.6
Shabazz Muhammad,9.9,0.4,0.3,0.1,2.8
Shaun Livingston,5.1,1.8,0.5,0.3,2
Solomon Hill,7,1.8,0.9,0.4,3.8
Spencer Dinwiddie,7.3,3.1,0.8,0.4,2.8
Stanley Johnson,4.4,1.4,0.7,0.3,2.5
Stephen Curry,25.3,6.6,1.8,0.2,4.5
Steven Adams,11.3,1.1,1.1,1,7.7
T.J. McConnell,6.9,6.6,1.6,0.1,3.1
Taj Gibson,10.8,0.9,0.5,0.8,6.2
Tarik Black,5.7,0.6,0.4,0.7,5.1
Taurean Prince,5.7,0.9,0.7,0.5,2.7
Terrence Ross,11,1.1,1.1,0.4,2.6
Terry Rozier,5.5,1.8,0.6,0.1,3.1
Thabo Sefolosha,7.2,1.7,1.6,0.5,4.4
Thaddeus Young,11,1.6,1.5,0.4,6.1
Tim Frazier,7.1,5.2,0.9,0.1,2.7
Tim Hardaway Jr.,14.5,2.3,0.7,0.2,2.8
Timothe Luwawu-Cabarrot,6.4,1.1,0.5,0.1,2.2
TJ Warren,14.4,1.1,1.1,0.6,5.1
Tobias Harris,16.1,1.7,0.7,0.5,5.1
Tony Allen,9.1,1.4,1.6,0.4,5.5
Tony Parker,10.1,4.5,0.5,0,1.8
Tony Snell,8.5,1.2,0.7,0.2,3.1
Trevor Ariza,11.7,2.2,1.8,0.3,5.7
Trevor Booker,10,1.9,1.1,0.4,8
Trey Lyles,6.2,1,0.4,0.3,3.3
Tristan Thompson,8.1,1,0.5,1.1,9.2
Troy Daniels,8.2,0.7,0.3,0.1,1.5
Ty Lawson,9.9,4.8,1.1,0.1,2.6
Tyler Johnson,13.7,3.2,1.1,0.6,4
Tyler Ulis,7.3,3.7,0.8,0.1,1.6
Tyus Jones,3.5,2.6,0.8,0.1,1.1
Victor Oladipo,15.9,2.6,1.2,0.3,4.3
Vince Carter,8,1.8,0.8,0.5,3.1
Wayne Ellington,10.5,1.1,0.6,0.1,2.1
Wesley Johnson,2.7,0.3,0.4,0.4,2.7
Wesley Matthews,13.5,2.9,1.1,0.2,3.5
Will Barton,13.7,3.4,0.8,0.5,4.3
Willie Cauley-Stein,8.1,1.1,0.7,0.6,4.5
Willie Reed,5.3,0.4,0.3,0.7,4.7
Willy Hernangomez,8.2,1.3,0.6,0.5,7
Wilson Chandler,15.7,2,0.7,0.4,6.5
Zach Randolph,14.1,1.7,0.5,0.1,8.2
Zaza Pachulia,6.1,1.9,0.8,0.5,5.9
